ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto",¿Existencias?,Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Meta: ecommerce_watch_store_brand_name","Meta: _eael_post_view_count"
682,simple,,"Premium Polo Argentina Black",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,ARGENTINA,,,"https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-black-front-664a01a177f89.png, https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-black-front-664a01a177881.png, https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-black-zoomed-in-664a01a178038.png",,,,,,,,,0,,1
686,simple,,"Premium Polo Argentina Navy",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,ARGENTINA,,,"https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-navy-front-664a01a178614.png, https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-navy-zoomed-in-664a01a17887a.png, https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-navy-front-664a01a1784dc-1.png",,,,,,,,,0,,
694,simple,,"Premium Polo Argentina Gray",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,ARGENTINA,,,"https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-steel-grey-front-664a01a179577.png, https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-steel-grey-zoomed-in-664a01a179900.png, https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-steel-grey-front-664a01a179250.png",,,,,,,,,0,,
695,simple,,"Premium Polo England Black",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,ENGLAND,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-black-front-6649ed7ce04a7.png,,,,,,,,,0,,
701,simple,,"Premium Polo England Gray",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,ENGLAND,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-steel-grey-front-6649ed7ce3109.png,,,,,,,,,0,,
702,simple,,"Premium Polo England Red",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,ENGLAND,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-red-front-6649ed7ce0a4f.png,,,,,,,,,0,,
703,simple,,"Premium Polo England Light Gray",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,ENGLAND,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-cool-heather-front-6649ed7ce6c71.png,,,,,,,,,0,,
705,simple,,"Premium Polo England Navy",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,ENGLAND,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-navy-front-6649ed7ce0f98.png,,,,,,,,,0,,
706,simple,,"Premium Polo France Navy",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,FRANCE,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-navy-front-6649f3437fe3d.png,,,,,,,,,0,,
713,simple,,"Premium Polo France Gray",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,FRANCE,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-steel-grey-front-6649f34380bef.png,,,,,,,,,0,,
714,simple,,"Premium Polo France White",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,FRANCE,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-white-front-6649f45405678.png,,,,,,,,,0,,1
715,simple,,"Premium Polo France Light Gray",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,FRANCE,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-cool-heather-front-6649f34381d77.png,,,,,,,,,0,,
716,simple,,"Premium Polo France Black",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,FRANCE,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-black-front-6649f3437eddf.png,,,,,,,,,0,,
717,simple,,"Premium Polo Ireland Black",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,IRELAND,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-black-front-6649fa825d931.png,,,,,,,,,0,,
727,simple,,"Premium Polo Ireland Navy",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,IRELAND,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-navy-front-6649fa825dc52.png,,,,,,,,,0,,1
728,simple,,"Premium Polo Ireland Gray",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,IRELAND,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-steel-grey-front-6649fa825e166.png,,,,,,,,,0,,
729,simple,,"Premium Polo Ireland Light Gray",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,IRELAND,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-cool-heather-front-6649fa825e820.png,,,,,,,,,0,,
730,simple,,"Premium Polo Scotland Black",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,SCOTLAND,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-black-front-664f745a74f1d.png,,,,,,,,,0,,
735,simple,,"Premium Polo Scotland Navy",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,SCOTLAND,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-navy-front-664f745a75829.png,,,,,,,,,0,,1
736,simple,,"Premium Polo Scotland Gray",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,SCOTLAND,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-steel-grey-front-664f745a7614a.png,,,,,,,,,0,,
737,simple,,"Premium Polo Scotland Light Gray",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,SCOTLAND,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-cool-heather-front-664f745a76bfb.png,,,,,,,,,0,,
739,simple,,"Premium Polo Wales Black",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,WALES,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-black-front-664f7a4f511fe.png,,,,,,,,,0,,
743,simple,,"Premium Polo Wales Red",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,WALES,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-red-front-664f7a4f535d3.png,,,,,,,,,0,,
744,simple,,"Premium Polo Wales Gray",1,0,visible,,,,,taxable,,backorder,,,0,0,,,,,1,,,38,WALES,,,https://the-h-connection.com/wp-content/uploads/2024/06/premium-polo-shirt-steel-grey-front-664f7a4f53acc.png,,,,,,,,,0,,
